machine_type,shift,maintenance_done_recently,runtime_hours,production_units,avg_load_pct,temperature_c,vibration_mm_s,idle_minutes,days_since_maintenance,energy_kwh
CNC,Night,Yes,14.0,1184,62.8,61.9,6.12,28.1,68,276.7
Pump,Afternoon,No,18.47,910,78.8,51.2,3.24,39.1,40,278.4
CNC,Afternoon,No,1.57,1061,60.5,81.8,0.45,70.6,15,273.5
Pump,Afternoon,No,23.73,711,66.4,61.6,2.44,36.1,51,312.3
Compressor,Afternoon,No,20.51,891,100.0,89.6,3.93,47.6,86,437.5
Pump,Morning,No,15.64,718,56.6,60.5,1.22,59.3,102,275.9
CNC,Afternoon,No,22.44,624,100.0,65.5,7.71,37.9,59,355.9
Conveyor,Night,No,11.75,497,60.0,57.7,0.49,61.2,93,237.4
Pump,Morning,No,20.96,916,52.8,36.6,1.59,80.3,34,299.7
CNC,Morning,No,13.53,293,47.1,59.2,1.85,72.1,76,228.3
Conveyor,Afternoon,No,20.1,714,53.3,61.6,1.01,66.1,112,292.1
Compressor,Night,No,17.44,865,92.6,109.5,2.54,35.0,59,368.7
Pump,Night,Yes,2.69,876,65.4,57.8,0.97,25.2,48,222.8
Pump,Afternoon,No,12.21,702,61.9,52.3,1.98,75.8,90,245.1
CNC,Morning,No,16.74,979,71.4,76.0,4.38,39.3,21,273.9
Pump,Morning,No,8.01,549,73.7,49.9,1.13,22.6,113,210.4
Compressor,Morning,No,12.56,1100,80.4,76.6,8.23,81.0,46,400.2
CNC,Morning,No,2.08,1158,86.1,71.8,2.1,15.2,72,233.3
Pump,Morning,No,13.41,808,78.3,53.0,0.81,57.3,88,308.4
Compressor,Afternoon,No,3.39,919,79.5,96.4,7.79,25.5,118,318.9
Compressor,Night,No,7.35,1355,82.4,88.5,4.52,0.0,110,336.8
Compressor,Morning,No,1.5,930,70.7,67.1,5.6,33.8,63,272.2
Pump,Morning,Yes,14.92,957,67.5,48.0,2.85,47.0,37,230.9
Pump,Morning,No,2.52,714,52.9,29.4,3.13,71.7,36,214.5
CNC,Night,No,23.1,1004,77.2,51.8,4.2,20.8,14,341.7
Compressor,Night,No,10.63,946,73.0,89.7,4.53,26.6,45,355.5
CNC,Morning,No,12.55,1119,70.0,62.1,0.89,19.9,80,271.1
Pump,Night,No,1.76,966,31.2,60.4,0.66,69.7,25,219.2
Conveyor,Afternoon,No,22.76,661,46.2,59.7,1.76,41.2,6,262.3
CNC,Afternoon,No,5.96,923,77.3,57.8,0.59,59.7,3,260.0
Conveyor,Afternoon,No,19.04,324,49.1,44.4,1.46,29.3,93,172.5
Compressor,Night,No,9.0,1628,100.0,103.0,1.0,54.9,53,372.4
Compressor,Night,No,12.52,1061,94.9,112.1,5.52,59.1,77,384.6
Pump,Morning,No,7.82,753,55.2,58.2,1.74,59.5,5,228.7
Compressor,Morning,No,9.41,1807,64.7,72.7,1.74,26.1,109,337.2
Conveyor,Afternoon,No,18.44,667,48.9,43.4,0.72,30.4,3,253.8
CNC,Morning,No,11.43,647,83.6,56.3,1.11,47.9,28,281.6
CNC,Afternoon,No,3.63,915,65.7,47.8,3.38,75.8,46,241.9
Pump,Afternoon,No,21.56,900,81.5,52.0,0.62,56.9,102,273.1
CNC,Afternoon,No,7.51,806,71.7,70.7,1.27,37.8,1,229.2
Conveyor,Night,Yes,13.94,558,47.5,42.0,0.45,50.6,71,176.9
Compressor,Afternoon,No,17.43,815,60.5,81.4,0.25,27.8,34,258.4
CNC,Morning,No,9.33,544,69.9,75.2,4.28,64.0,15,233.5
Pump,Afternoon,Yes,12.93,719,60.0,64.4,1.79,16.3,45,270.2
Pump,Night,No,20.31,484,65.2,62.2,3.2,72.1,85,269.9
Conveyor,Night,No,14.17,946,61.5,50.8,1.44,85.9,75,267.2
Pump,Morning,No,11.96,540,56.1,54.9,0.85,52.1,96,226.1
Pump,Afternoon,No,16.56,699,54.1,57.6,3.63,58.6,8,292.8
Pump,Night,Yes,9.5,803,74.8,47.2,5.25,41.5,4,224.3
Compressor,Afternoon,No,16.5,1215,87.6,91.0,10.67,32.4,95,428.0
Conveyor,Night,No,3.27,521,53.5,43.8,0.57,48.0,115,194.2
Compressor,Night,Yes,16.64,1213,90.3,101.5,0.47,25.7,91,310.8
Pump,Morning,No,17.99,889,59.7,63.6,0.84,38.3,52,288.8
CNC,Afternoon,No,20.92,712,75.9,66.1,3.52,45.1,68,324.9
Pump,Afternoon,Yes,11.16,1016,77.0,62.8,0.53,51.1,41,251.5
Compressor,Morning,No,6.27,1118,89.8,75.7,2.73,61.1,119,386.9
Compressor,Morning,No,12.81,855,100.0,80.3,5.27,25.2,111,334.8
Conveyor,Afternoon,Yes,2.09,478,52.3,48.8,1.41,64.1,96,182.7
Conveyor,Night,No,5.63,463,37.2,38.2,0.65,51.5,78,160.7
Compressor,Night,No,13.86,1505,87.0,94.5,2.89,58.0,59,384.7
Conveyor,Morning,No,5.33,813,60.3,48.6,2.45,71.4,112,259.8
Compressor,Night,No,11.53,1283,93.5,91.4,1.6,71.5,8,320.9
Conveyor,Morning,Yes,12.1,536,35.1,45.7,1.15,66.6,42,206.0
Pump,Night,No,5.97,1138,49.5,58.4,1.12,47.0,86,214.5
CNC,Night,Yes,13.18,721,83.7,71.3,0.69,79.8,92,308.7
Compressor,Afternoon,No,20.25,963,94.1,82.5,4.3,51.0,55,369.4
Conveyor,Night,No,6.38,721,56.2,49.1,2.07,83.8,41,209.9
CNC,Afternoon,No,23.83,1239,50.9,72.1,1.55,58.1,109,347.9
Compressor,Afternoon,No,11.78,599,63.1,103.9,2.05,54.9,33,263.7
Pump,Afternoon,Yes,21.98,839,44.5,64.3,2.06,55.5,10,290.0
Pump,Morning,Yes,6.97,635,75.9,48.1,2.19,57.6,94,233.3
Conveyor,Afternoon,No,23.87,468,56.8,47.8,1.19,51.7,73,304.2
Pump,Morning,No,12.69,829,48.7,48.2,1.6,32.8,13,228.9
Compressor,Afternoon,No,3.11,1030,76.4,67.9,0.43,6.0,102,304.6
Pump,Night,No,8.09,788,62.2,64.4,1.17,9.3,27,189.3
Conveyor,Morning,No,13.58,333,50.2,58.6,1.19,28.7,51,259.9
Pump,Afternoon,Yes,18.13,835,44.9,55.3,1.97,47.0,39,264.8
CNC,Morning,Yes,14.63,1169,64.1,71.5,1.03,48.3,13,299.5
Pump,Night,No,12.33,550,56.7,71.5,5.09,16.3,51,231.2
Pump,Afternoon,Yes,12.54,602,53.1,62.3,2.8,47.1,35,274.6
Conveyor,Morning,Yes,9.1,730,43.7,51.9,4.05,10.0,66,198.1
Pump,Morning,No,19.82,980,54.3,56.3,0.41,49.5,109,268.1
Pump,Afternoon,No,21.16,861,71.7,56.9,2.26,37.3,22,249.1
Pump,Morning,Yes,18.88,980,62.5,43.8,0.72,34.4,25,250.7
Compressor,Morning,No,9.78,549,100.0,67.2,7.42,28.4,14,352.2
Pump,Morning,No,14.07,588,81.6,66.4,1.9,33.1,67,302.5
Pump,Night,Yes,12.95,822,58.4,62.2,2.43,74.5,8,269.7
Compressor,Morning,Yes,10.68,1235,65.1,76.5,5.89,20.3,69,288.9
CNC,Afternoon,No,9.22,886,59.3,81.5,2.72,10.4,15,205.2
CNC,Morning,No,11.65,741,64.3,75.8,1.35,45.0,38,275.7
Compressor,Night,No,23.29,1105,97.1,93.7,0.12,73.9,4,357.1
Conveyor,Night,No,2.28,442,63.0,54.0,0.76,39.9,119,177.7
Conveyor,Afternoon,Yes,12.6,533,42.4,37.5,0.04,36.7,90,183.6
Compressor,Night,No,21.67,679,100.0,78.5,1.79,40.2,96,367.4
Conveyor,Morning,No,8.13,421,34.7,38.1,1.89,67.0,104,167.1
Conveyor,Morning,No,10.99,637,65.1,43.5,1.55,86.8,4,265.2
Compressor,Morning,No,21.8,1378,100.0,82.2,1.4,28.7,112,418.3
Compressor,Afternoon,No,23.96,982,68.6,97.5,4.7,25.1,14,315.3
Conveyor,Night,Yes,10.24,584,58.6,44.2,4.4,48.5,22,247.6
Conveyor,Afternoon,No,19.42,873,52.8,55.1,0.29,68.4,30,205.2
CNC,Afternoon,Yes,4.73,600,69.7,66.9,0.67,39.1,89,191.0
Conveyor,Afternoon,No,13.86,491,41.9,41.1,0.38,22.7,89,201.9
Compressor,Afternoon,No,14.22,1152,56.8,74.3,11.32,36.5,16,311.8
CNC,Afternoon,No,17.94,871,58.4,73.8,1.13,54.9,46,283.7
CNC,Morning,Yes,2.93,1009,44.6,58.7,0.65,65.5,93,191.0
Compressor,Afternoon,No,19.39,1051,99.9,87.6,1.03,11.0,49,373.4
Pump,Afternoon,No,14.79,994,59.3,51.9,1.36,31.2,23,276.0
Conveyor,Morning,No,13.57,653,68.2,44.0,2.14,28.8,66,237.7
Compressor,Night,No,7.38,1423,74.0,84.8,1.42,39.7,76,300.5
Conveyor,Night,No,1.44,632,63.5,48.4,1.64,38.4,8,229.6
Compressor,Morning,No,4.73,877,88.9,81.2,1.01,60.5,52,323.7
CNC,Night,No,21.79,1067,88.4,65.4,2.52,9.1,25,337.4
Conveyor,Night,No,23.97,694,45.2,51.6,0.58,31.7,13,287.5
Compressor,Night,No,10.64,1031,64.4,107.9,0.82,50.1,43,311.0
CNC,Afternoon,No,11.56,674,48.7,55.4,0.7,60.5,1,213.7
Pump,Afternoon,No,14.91,513,67.8,52.8,4.01,94.8,94,291.4
CNC,Afternoon,No,12.66,825,71.6,58.6,2.09,73.0,85,292.3
Pump,Morning,Yes,1.02,669,62.0,58.2,1.07,29.5,111,186.4
Compressor,Night,No,7.31,1108,84.6,83.6,8.42,27.7,44,296.0
Pump,Night,No,21.16,740,50.6,78.6,0.35,46.1,71,292.7
Compressor,Morning,Yes,3.15,1054,61.3,78.3,3.27,67.6,34,267.4
Conveyor,Night,No,17.46,503,61.5,55.2,3.79,36.3,7,284.5
Compressor,Afternoon,No,7.41,1379,100.0,83.6,4.51,26.0,117,328.3
CNC,Night,No,16.63,1145,54.5,69.1,3.32,40.5,62,306.5
Pump,Night,Yes,1.75,936,53.1,52.7,6.04,47.9,117,226.8
Pump,Morning,No,3.95,871,68.6,49.8,0.9,69.9,91,239.2
Pump,Morning,No,5.79,819,47.6,52.4,0.51,57.3,98,230.5
Conveyor,Afternoon,No,23.98,1055,56.1,41.4,1.74,48.9,38,320.2
Pump,Afternoon,Yes,21.25,873,80.4,56.9,3.43,66.5,94,335.7
Compressor,Morning,No,16.01,1012,89.1,67.1,2.89,84.9,108,339.7
Pump,Afternoon,No,13.4,525,60.6,60.4,3.96,32.7,45,242.5
Conveyor,Morning,No,21.73,750,47.2,44.0,0.95,35.2,17,248.5
CNC,Night,Yes,15.7,914,79.1,74.9,4.25,15.4,99,315.2
Pump,Night,No,10.27,674,57.1,66.9,0.08,32.1,6,257.1
Compressor,Morning,Yes,15.1,1197,95.5,74.7,6.39,46.2,24,386.2
Pump,Morning,No,22.06,605,63.7,59.9,2.6,29.1,28,316.8
Compressor,Afternoon,No,18.89,963,71.6,84.0,2.59,34.1,66,334.3
Pump,Morning,No,10.61,610,56.2,49.7,2.07,42.9,39,175.1
Conveyor,Night,No,10.97,558,66.2,45.8,0.79,11.2,79,216.1
Compressor,Morning,No,9.68,1349,81.7,86.9,7.63,46.1,35,322.6
Compressor,Night,No,9.54,903,93.6,83.6,0.8,18.2,13,315.4
Conveyor,Afternoon,No,7.12,698,48.2,44.4,1.38,72.5,117,171.1
Pump,Afternoon,No,8.95,724,75.9,64.1,1.97,49.0,68,274.6
Conveyor,Morning,No,23.77,418,47.6,52.8,2.23,42.4,25,256.1
CNC,Morning,No,4.1,1178,56.3,71.1,7.05,56.8,11,240.6
Conveyor,Afternoon,No,8.92,739,51.4,45.3,1.95,80.0,104,218.6
Compressor,Morning,No,18.76,949,100.0,73.2,2.97,48.3,34,378.5
Compressor,Afternoon,No,4.61,1202,87.4,97.1,4.84,67.1,102,351.9
Pump,Night,No,5.18,598,62.6,70.8,0.71,34.1,84,235.5
CNC,Afternoon,No,13.97,1092,89.0,70.0,3.48,33.6,28,344.9
Conveyor,Morning,Yes,7.43,666,58.4,43.9,1.07,49.2,88,202.3
CNC,Morning,No,1.47,1014,84.6,63.3,0.44,38.4,36,236.8
Conveyor,Morning,No,14.64,510,71.3,46.5,1.07,51.8,102,231.3
CNC,Night,No,9.13,918,94.9,70.6,1.42,43.5,32,303.9
Conveyor,Night,No,8.73,580,45.9,46.7,1.33,44.9,115,197.1
Conveyor,Morning,No,10.19,604,39.0,34.9,2.92,13.0,108,206.9
CNC,Afternoon,No,22.06,942,100.0,65.0,4.94,58.7,110,330.1
Conveyor,Night,No,19.91,351,59.7,48.7,3.6,17.0,35,279.2
Pump,Night,No,12.05,800,68.1,64.5,3.47,60.6,90,256.5
CNC,Morning,No,22.39,880,77.5,71.5,7.71,33.8,50,355.3
Pump,Afternoon,No,22.87,635,51.4,58.8,6.33,46.7,17,269.9
Conveyor,Afternoon,No,20.86,862,48.6,48.4,1.35,38.8,106,281.5
CNC,Night,No,18.57,1256,53.5,63.9,1.33,34.2,30,284.6
Compressor,Afternoon,No,15.68,786,91.7,71.9,0.76,34.2,106,312.5
CNC,Morning,No,23.0,758,58.2,71.5,2.51,36.2,70,296.5
Compressor,Afternoon,No,5.1,1339,96.6,88.4,3.8,50.8,116,361.4
CNC,Morning,No,10.98,801,71.4,60.7,1.52,42.4,83,290.6
Conveyor,Afternoon,No,4.16,616,42.0,46.2,1.22,60.9,44,204.8
Conveyor,Night,Yes,20.27,592,39.8,52.0,2.16,85.0,111,272.0
Conveyor,Afternoon,Yes,18.69,676,25.6,56.5,5.21,21.3,21,209.7
Conveyor,Morning,No,6.62,574,49.7,42.6,1.66,24.6,113,181.8
Pump,Morning,No,19.75,774,47.7,47.7,1.14,69.4,66,262.8
Pump,Afternoon,Yes,11.93,730,71.2,63.8,1.75,44.6,101,254.6
Pump,Morning,No,8.19,681,54.2,50.8,0.92,31.5,63,188.1
Pump,Afternoon,No,9.13,798,71.2,60.5,1.43,59.9,118,222.0
CNC,Morning,No,7.26,841,90.7,67.8,2.1,20.4,60,249.9
Conveyor,Morning,No,18.76,465,53.9,48.6,1.94,63.1,91,262.8
Pump,Night,No,3.53,750,62.3,64.6,1.06,45.7,51,245.9
Pump,Morning,No,14.72,605,56.1,56.4,0.6,63.3,22,218.6
Conveyor,Night,No,16.84,710,44.0,52.1,0.69,54.3,4,226.5
Pump,Night,No,15.98,737,67.1,56.4,0.95,48.8,73,310.9
Pump,Afternoon,No,5.41,704,69.3,51.9,1.08,33.7,34,200.9
Compressor,Night,No,1.9,1454,100.0,111.8,0.68,68.5,91,340.7
Compressor,Afternoon,No,23.14,1152,100.0,86.5,1.04,18.6,58,410.6
Pump,Morning,No,5.35,773,67.2,46.2,2.58,48.1,71,233.3
CNC,Afternoon,Yes,21.94,1199,55.8,70.9,4.33,69.9,33,294.8
Compressor,Morning,Yes,4.91,1332,93.9,77.3,11.51,62.6,69,334.4
CNC,Morning,No,17.05,1030,81.3,65.4,2.55,32.3,1,310.1
Compressor,Morning,Yes,20.11,1327,93.0,61.0,2.81,74.6,29,352.4
Compressor,Afternoon,No,12.15,1124,87.2,89.7,4.29,50.1,49,331.7
Compressor,Morning,No,15.6,1094,77.4,95.0,0.78,86.1,97,339.3
Pump,Morning,Yes,20.85,534,45.0,56.1,7.99,90.3,39,240.6
Pump,Afternoon,No,21.07,630,60.8,56.5,0.48,60.6,3,281.2
CNC,Morning,Yes,20.81,808,59.8,73.2,1.85,75.2,105,303.5
Compressor,Morning,No,10.08,1395,95.0,81.9,5.64,28.1,102,407.3
Compressor,Afternoon,No,21.19,952,94.8,79.1,4.32,67.6,29,369.5
Compressor,Morning,No,7.6,1203,97.5,80.7,2.88,41.4,26,334.9
Conveyor,Afternoon,No,4.01,687,53.5,38.5,0.89,50.3,55,158.7
Conveyor,Afternoon,No,11.35,685,58.8,35.8,0.91,43.3,37,208.2
Pump,Afternoon,No,21.66,928,59.0,46.6,2.4,29.8,65,293.1
Compressor,Night,No,14.57,838,100.0,97.4,4.98,71.1,34,355.7
Compressor,Morning,No,2.05,1513,95.3,80.3,1.94,21.4,15,297.1
Compressor,Night,No,12.35,887,92.8,74.6,5.23,50.8,17,341.8
CNC,Morning,No,3.67,888,65.5,66.8,1.72,52.9,58,225.5
Pump,Morning,No,16.88,850,70.9,64.3,1.53,12.3,29,269.0
CNC,Night,No,14.69,874,68.4,81.3,2.68,29.4,26,301.5
Conveyor,Night,No,9.04,486,60.6,53.7,1.0,62.7,111,254.2
Compressor,Night,Yes,13.79,593,92.1,97.6,5.0,81.2,43,351.7
CNC,Afternoon,No,4.61,893,85.0,68.6,0.49,53.8,59,279.9
CNC,Afternoon,No,23.48,1226,87.5,77.4,3.18,65.1,56,329.2
CNC,Afternoon,No,12.9,1185,95.7,71.3,4.37,48.9,101,368.9
Compressor,Afternoon,No,12.56,620,83.0,91.8,1.52,50.4,13,274.1
Conveyor,Morning,No,7.31,679,40.9,43.6,3.82,29.4,41,182.3
Pump,Night,No,12.82,823,67.7,51.6,1.5,28.5,11,247.1
CNC,Afternoon,Yes,21.73,709,67.5,76.4,4.98,46.6,76,312.0
Compressor,Afternoon,No,9.66,881,52.3,88.2,0.65,26.0,118,233.8
Pump,Night,Yes,11.27,658,63.8,60.6,0.92,65.8,2,255.9
Compressor,Afternoon,No,8.43,925,71.5,83.1,0.86,53.8,46,292.9
Pump,Morning,Yes,6.81,678,64.3,57.4,2.39,23.0,100,204.2
Conveyor,Night,Yes,19.94,516,62.8,63.1,2.0,9.3,8,266.4
Compressor,Night,No,21.15,1358,88.0,80.1,1.36,63.3,40,382.7
Conveyor,Afternoon,No,16.18,541,66.8,44.7,1.78,26.4,2,237.5
Compressor,Afternoon,No,19.38,997,51.6,76.2,0.78,14.6,24,306.9
Compressor,Morning,No,16.05,668,100.0,85.9,2.54,13.2,114,340.7
Compressor,Afternoon,No,18.45,1106,94.8,54.3,3.2,44.8,55,344.0
Compressor,Night,No,4.46,976,85.3,112.7,1.42,61.2,73,329.8
Pump,Morning,No,8.79,503,47.6,53.2,2.82,46.5,93,213.4
Pump,Morning,No,15.67,618,63.6,51.4,1.69,48.5,15,259.3
CNC,Night,No,16.99,898,64.9,76.0,1.84,42.4,85,312.5
CNC,Afternoon,Yes,21.8,1013,95.7,77.0,2.41,51.2,59,286.4
Pump,Morning,No,10.86,1019,55.4,49.7,0.68,8.0,81,188.4
Conveyor,Afternoon,No,20.5,996,53.3,47.5,1.71,31.7,97,277.1
Compressor,Night,No,8.22,1092,100.0,123.7,6.08,64.4,14,401.7
Pump,Morning,No,6.52,544,59.0,48.0,2.48,46.2,62,217.3
Pump,Morning,No,20.7,769,49.3,53.8,0.69,44.9,14,260.4
Conveyor,Morning,No,12.73,525,51.7,49.8,5.54,34.2,15,212.8
Compressor,Afternoon,No,7.17,1145,73.5,79.2,1.44,50.3,15,292.6
Compressor,Afternoon,No,4.39,1337,77.6,83.2,5.25,10.4,78,280.2
Conveyor,Afternoon,No,10.5,655,44.5,38.0,1.98,60.4,83,221.8
Conveyor,Morning,No,6.74,669,52.2,34.9,1.68,56.8,36,165.9
Compressor,Afternoon,No,1.17,1127,98.9,88.0,6.06,69.1,61,331.2
Conveyor,Morning,No,16.81,512,67.8,36.6,0.41,76.5,52,274.9
CNC,Morning,No,8.64,718,68.8,52.5,0.74,66.2,5,243.7
Compressor,Afternoon,No,3.91,848,99.6,75.5,1.75,38.3,33,289.4
CNC,Afternoon,Yes,1.17,1059,60.9,63.4,4.35,31.6,62,238.2
CNC,Morning,No,11.11,862,45.3,77.1,7.04,49.6,74,288.6
Pump,Afternoon,No,8.06,859,58.7,68.6,3.6,73.1,81,245.2
CNC,Morning,Yes,8.55,831,93.0,73.9,1.91,45.5,44,243.8
Compressor,Morning,No,10.57,1068,82.4,78.2,0.2,57.7,28,326.4
Pump,Night,No,13.92,815,55.5,69.6,2.58,49.0,71,274.2
CNC,Afternoon,Yes,10.21,920,77.2,60.7,1.59,54.6,19,246.1
CNC,Afternoon,No,10.62,716,80.0,70.1,3.74,35.5,35,266.1
CNC,Morning,Yes,11.79,735,100.0,69.3,2.04,51.2,48,255.5
Conveyor,Morning,No,17.53,669,42.0,44.4,0.69,32.1,108,208.7
Conveyor,Morning,No,15.51,352,50.1,41.4,1.82,60.9,41,230.6
CNC,Morning,No,10.97,1088,86.0,64.9,2.27,74.7,96,294.3
Compressor,Afternoon,Yes,2.32,1218,98.9,70.0,7.17,70.2,28,296.4
CNC,Afternoon,Yes,15.72,941,57.1,69.8,2.2,54.1,61,258.1
Pump,Morning,Yes,23.94,901,45.6,56.5,4.64,14.5,85,281.9
Compressor,Afternoon,No,15.93,1109,90.9,93.7,2.43,15.3,100,351.5
CNC,Morning,No,13.1,1133,90.4,54.2,0.57,46.8,118,260.6
Pump,Morning,No,12.43,871,33.2,55.5,0.97,42.0,33,195.9
CNC,Morning,No,8.1,873,96.1,67.7,1.82,43.0,79,319.9
CNC,Night,No,20.06,768,85.7,80.1,5.19,71.1,41,342.5
CNC,Morning,No,12.5,970,66.9,78.6,3.15,67.2,80,282.5
Pump,Night,No,22.61,728,77.0,60.1,5.07,9.2,11,348.8
Pump,Afternoon,No,14.36,671,84.6,71.6,1.01,70.4,47,313.1
Pump,Afternoon,No,9.06,753,51.9,59.1,2.93,27.3,58,208.6
Pump,Afternoon,No,18.54,643,55.1,61.0,1.7,61.2,50,277.2
Compressor,Afternoon,No,17.33,1609,69.3,89.5,8.88,59.0,76,386.9
CNC,Morning,No,9.5,905,88.2,77.9,5.73,67.7,38,335.4
Pump,Afternoon,No,6.9,982,55.5,61.0,0.43,58.8,58,248.1
Compressor,Morning,No,17.14,1318,79.4,82.3,0.74,19.8,83,351.2
Compressor,Night,No,19.96,1592,71.4,72.7,7.41,81.4,55,390.6
Conveyor,Morning,No,17.34,678,68.7,40.3,6.46,72.1,85,311.2
Pump,Night,No,23.05,577,55.9,61.3,2.28,15.3,63,264.9
Conveyor,Morning,Yes,9.58,690,48.6,44.2,2.13,20.7,85,219.0
Conveyor,Afternoon,No,17.74,791,51.0,47.7,4.02,38.0,5,289.7
CNC,Afternoon,No,16.91,654,81.1,83.2,0.61,59.5,98,280.8
Pump,Night,No,1.55,827,76.7,45.6,4.28,53.6,14,269.6
CNC,Night,Yes,18.32,1306,85.4,80.4,3.05,61.2,80,327.8
Compressor,Morning,No,2.86,1337,83.3,66.8,3.83,26.1,8,294.1
Compressor,Night,No,3.36,1526,84.4,99.9,3.11,4.9,100,331.4
Conveyor,Night,No,8.59,615,51.7,56.7,0.9,57.1,38,174.5
CNC,Morning,No,17.16,738,80.4,45.9,0.61,37.6,117,266.1
Pump,Afternoon,No,12.4,809,73.5,63.1,0.18,34.2,96,246.7
Pump,Afternoon,Yes,13.64,775,49.7,46.7,4.31,56.7,57,280.4
Compressor,Afternoon,No,14.25,1375,81.3,92.8,1.57,17.3,22,363.9
Compressor,Night,No,11.65,1167,59.9,93.4,3.25,50.6,64,310.5
Compressor,Morning,No,13.06,988,89.5,84.0,7.24,91.4,62,362.4
CNC,Morning,No,14.36,1028,54.5,69.0,1.72,58.3,65,257.4
Conveyor,Night,No,10.93,749,56.1,38.8,3.64,21.8,59,253.0
Pump,Night,No,12.48,435,41.7,62.3,3.66,59.2,61,244.8
Pump,Night,No,12.03,521,54.6,43.7,0.92,52.3,72,201.3
CNC,Morning,No,17.12,1070,82.9,65.9,1.32,28.2,53,324.0
Pump,Night,No,14.03,962,56.4,57.9,1.57,45.1,8,237.2
Pump,Morning,Yes,1.6,645,66.2,56.7,2.31,47.0,77,207.1
CNC,Night,No,14.42,523,78.1,91.0,3.46,47.8,46,278.7
Pump,Afternoon,Yes,17.49,453,60.2,52.8,0.58,58.6,53,235.2
Conveyor,Night,No,8.73,635,42.7,55.0,1.26,0.0,32,186.9
Conveyor,Afternoon,No,3.71,505,55.2,42.5,0.57,29.4,25,182.1
Compressor,Morning,Yes,9.32,1416,71.3,78.3,1.08,51.5,52,359.7
Compressor,Morning,No,13.41,1060,100.0,90.4,1.25,31.5,83,356.2
Compressor,Afternoon,No,18.07,956,73.6,73.5,1.22,39.2,117,343.2
Pump,Morning,No,19.29,663,58.5,63.6,0.62,25.6,35,231.0
CNC,Afternoon,No,2.48,673,76.5,49.9,1.15,33.4,27,210.1
CNC,Afternoon,No,4.98,881,77.4,77.6,1.13,51.8,117,270.8
Pump,Morning,No,7.87,802,55.6,53.0,2.02,44.6,88,205.2
CNC,Night,Yes,4.35,560,80.0,72.6,1.15,38.5,13,227.7
CNC,Night,No,8.11,1057,80.1,71.0,4.31,46.9,64,234.2
Compressor,Afternoon,No,11.95,1252,58.5,97.3,1.29,62.7,108,313.7
Conveyor,Night,Yes,19.56,563,48.2,56.1,1.06,3.4,51,190.7
CNC,Morning,No,3.49,563,67.6,70.6,1.94,71.3,36,213.4
Compressor,Night,No,3.95,1077,100.0,82.6,0.35,57.5,68,346.5
Pump,Morning,Yes,19.83,701,76.6,61.4,1.38,34.5,71,297.3
CNC,Afternoon,No,1.27,856,81.6,78.6,3.83,23.4,111,239.4
Compressor,Night,No,10.46,1170,100.0,89.5,0.53,39.6,113,343.1
Compressor,Morning,No,3.64,1421,100.0,94.2,2.08,47.3,44,308.0
Conveyor,Afternoon,No,17.62,447,65.3,48.7,0.64,25.4,13,284.8
Compressor,Morning,Yes,15.8,811,100.0,67.2,0.69,46.2,90,327.6
Compressor,Afternoon,No,8.65,1293,100.0,87.9,2.04,42.3,34,314.0
Pump,Afternoon,No,8.28,883,49.0,57.6,0.43,43.3,68,164.7
Compressor,Morning,No,14.87,1093,100.0,75.2,12.79,4.8,43,386.1
Compressor,Afternoon,No,11.3,983,75.2,76.4,2.65,55.6,76,327.1
CNC,Morning,No,14.05,1112,90.0,56.0,2.12,23.0,7,302.8
CNC,Afternoon,No,20.32,952,79.2,62.6,3.11,8.1,96,284.4
CNC,Afternoon,No,17.57,813,100.0,80.7,0.81,44.2,119,316.6
Compressor,Afternoon,No,2.69,952,87.2,97.4,3.66,65.9,69,302.8
Compressor,Morning,No,8.12,1123,100.0,80.0,3.31,20.9,108,354.8
Pump,Afternoon,Yes,10.86,863,74.5,50.5,2.35,56.7,9,251.5
Compressor,Night,No,5.77,1531,94.2,84.7,4.57,24.7,70,348.9
Compressor,Night,No,1.75,1213,96.5,96.0,1.02,58.1,7,348.9
CNC,Night,No,23.47,903,56.6,78.9,2.93,45.4,18,271.9
Compressor,Afternoon,Yes,21.36,958,89.8,100.3,2.83,20.7,55,372.6
Pump,Morning,No,2.53,726,68.3,52.3,0.32,27.4,8,161.7
Pump,Night,Yes,4.24,593,47.5,48.9,1.08,59.9,117,161.4
CNC,Afternoon,No,19.6,1165,56.5,77.4,2.79,61.5,8,268.4
Pump,Afternoon,No,13.69,615,75.5,62.9,0.58,21.9,11,264.0
CNC,Morning,No,4.68,911,97.2,64.5,1.68,4.4,16,220.5
Compressor,Afternoon,Yes,22.27,1291,100.0,87.7,4.18,65.7,84,334.9
Compressor,Morning,Yes,14.36,1401,73.1,69.0,2.32,52.2,25,327.6
Conveyor,Afternoon,No,1.28,545,35.8,41.7,2.56,40.5,33,160.7
CNC,Morning,No,6.55,1309,80.9,76.3,1.88,42.3,63,289.4
Compressor,Morning,No,3.11,482,100.0,79.3,8.36,56.6,97,296.1
Pump,Morning,No,6.42,548,46.8,55.1,1.36,45.2,14,182.9
Pump,Afternoon,Yes,13.79,663,69.2,49.1,3.12,22.2,36,269.0
Compressor,Morning,No,22.61,1322,90.0,86.0,4.53,51.8,119,433.8
Pump,Afternoon,No,11.19,749,63.2,51.7,4.27,35.7,117,268.1
Compressor,Morning,Yes,10.68,1350,100.0,87.1,1.59,20.3,69,373.2
